Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,85.47,-92.18,90.0,top
D2,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,357.86,-96.88,90.0,top
D3,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,434.21,-126.13,90.0,top
D4,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,215.16,-126.13,90.0,top
D5,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.87,-163.93,90.0,top
D6,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,224.66,-145.08,90.0,top
D7,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,438.96,-145.08,90.0,top
D8,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,362.81,-164.13,90.0,top
D9,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,219.96,-183.23,90.0,top
D10,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.77,-92.18,90.0,top
D11,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,386.51,-96.88,90.0,top
D12,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,405.61,-126.13,90.0,top
D13,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,348.46,-126.13,90.0,top
D14,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.82,-163.93,90.0,top
D15,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,243.71,-145.08,90.0,top
D16,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,482.01,-144.93,90.0,top
D17,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,343.76,-164.13,90.0,top
D18,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,239.01,-183.23,90.0,top
D19,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,116.02,-92.18,90.0,top
D20,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,405.56,-96.88,90.0,top
D21,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,386.56,-126.13,90.0,top
D22,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,177.06,-126.13,90.0,top
D23,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,81.87,-163.93,90.0,top
D24,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,262.76,-145.08,90.0,top
D25,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,501.06,-144.93,90.0,top
D26,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,324.61,-164.13,90.0,top
D27,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,258.06,-183.23,90.0,top
D28,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,177.06,-96.88,90.0,top
D29,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,424.61,-96.88,90.0,top
D30,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,367.51,-126.13,90.0,top
D31,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,138.87,-125.78,90.0,top
D32,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,81.77,-183.03,90.0,top
D33,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,281.81,-145.08,90.0,top
D34,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,520.11,-144.93,90.0,top
D35,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,305.66,-164.13,90.0,top
D36,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,277.11,-183.23,90.0,top
D37,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,215.01,-96.88,90.0,top
D38,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,443.71,-96.88,90.0,top
D39,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,196.11,-126.13,90.0,top
D40,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.82,-125.78,90.0,top
D41,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.82,-182.93,90.0,top
D42,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,300.86,-145.08,90.0,top
D43,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,500.91,-183.23,90.0,top
D44,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,286.61,-164.13,90.0,top
D45,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,296.16,-183.23,90.0,top
D46,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,234.06,-96.88,90.0,top
D47,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,482.01,-96.88,90.0,top
D48,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,329.41,-126.13,90.0,top
D49,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.77,-125.78,90.0,top
D50,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.87,-183.03,90.0,top
D51,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,319.91,-145.08,90.0,top
D52,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,519.96,-202.23,90.0,top
D53,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,267.56,-164.13,90.0,top
D54,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,315.21,-183.23,90.0,top
D55,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,253.11,-96.88,90.0,top
D56,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,501.01,-96.88,90.0,top
D57,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,310.36,-126.13,90.0,top
D58,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,81.72,-125.78,90.0,top
D59,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.52,-187.98,90.0,top
D60,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,338.96,-145.08,90.0,top
D61,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,500.91,-202.23,90.0,top
D62,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,248.51,-164.13,90.0,top
D63,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,334.21,-183.23,90.0,top
D64,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,272.16,-96.88,90.0,top
D65,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,520.11,-96.88,90.0,top
D66,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,291.31,-126.13,90.0,top
D67,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,81.77,-144.88,90.0,top
D68,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.87,-201.98,90.0,top
D69,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,358.01,-145.08,90.0,top
D70,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,481.91,-202.23,90.0,top
D71,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,229.46,-164.13,90.0,top
D72,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,353.26,-183.23,90.0,top
D73,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,300.71,-96.88,90.0,top
D74,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,520.11,-126.13,90.0,top
D75,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,272.26,-126.13,90.0,top
D76,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.82,-144.88,90.0,top
D77,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,91.32,-202.03,90.0,top
D78,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,377.11,-145.08,90.0,top
D79,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,431.86,-164.13,90.0,top
D80,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,210.41,-164.13,90.0,top
D81,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,372.31,-183.23,90.0,top
D82,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,319.76,-96.88,90.0,top
D83,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,501.06,-126.13,90.0,top
D84,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,253.21,-126.13,90.0,top
D85,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,119.87,-144.88,90.0,top
D86,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,181.81,-145.08,90.0,top
D87,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,396.16,-145.08,90.0,top
D88,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,400.91,-164.13,90.0,top
D89,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,184.21,-164.13,90.0,top
D90,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,391.36,-183.23,90.0,top
D91,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,338.81,-96.88,90.0,top
D92,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,482.01,-126.13,90.0,top
D93,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,234.16,-126.13,90.0,top
D94,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,143.42,-150.18,90.0,top
D95,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,205.61,-145.08,90.0,top
D96,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,415.16,-145.08,90.0,top
D97,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,381.86,-164.13,90.0,top
D98,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,188.96,-183.23,90.0,top
D99,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,427.11,-183.23,90.0,top
D100,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,179.56,-202.23,90.0,top
D101,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,203.41,-202.23,90.0,top
D102,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,227.21,-202.23,90.0,top
D103,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,298.61,-202.23,90.0,top
D104,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,370.06,-202.23,90.0,top
D105,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,393.86,-202.23,90.0,top
D106,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,417.66,-202.23,90.0,top
D107,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,441.41,-202.23,90.0,top
